genres,rating,no_of_votes,meta_score,release_date,gross,budget,countries,log_budget,log_no_of_votes,log_gross,log_gross_bin
"Martial Arts, Action, Comedy",5.3,6800,34.0,2025.0,17235040.0,18000000.0,United States,16.705882371415992,8.824824939175638,16.662455136810458,3
"Action, Drama, Romance, Thriller, Western",6.5,107000,49.0,1995.0,18636537.0,32000000.0,"United States, Japan",17.281246492014,11.580593459194764,16.740634620358104,3
"Animal Adventure, Computer Animation, Fairy Tale, Quest, Swashbuckler, Action, Adventure, Animation, Comedy, Family",7.8,200000,73.0,2022.0,481757663.0,90000000.0,"United States, Japan",18.31532023940565,12.206077645517674,19.99295177379853,9
"Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Sci-Fi",7.6,524000,52.0,1997.0,263920180.0,26000000.0,"France, United Kingdom",17.073607134447293,13.169248871698304,19.391157270698248,8
"Sci-Fi Epic, Superhero, Urban Adventure, Action, Adventure, Sci-Fi",7.4,195000,82.0,1978.0,300478449.0,55000000.0,"United States, United Kingdom, Switzerland, Panama",17.822843761378564,12.180759965737863,19.520886595557663,8
"Action Epic, Costume Drama, Epic, Historical Epic, One-Person Army Action, Period Drama, Tragedy, Action, Drama, History",7.9,23000,64.81290322580645,2025.0,7698972.0,26000000.0,India,17.073607134447293,10.043292972227004,15.856597501305083,2
"Holiday Comedy, Action, Adventure, Comedy, Fantasy, Holiday, Mystery",6.3,137000,34.0,2024.0,185900759.0,350000000.0,"United States, Canada",19.673443715304877,11.827743504053695,19.04072354090279,7
"Dinosaur Adventure, Globetrotting Adventure, Action, Adventure, Sci-Fi, Thriller",5.6,221000,38.0,2022.0,1001978080.0,165000000.0,"United States, China, Malta",18.92145603792546,12.30592250537653,20.725241964120315,9
"Dark Fantasy, Supernatural Fantasy, Survival, Action, Adventure, Fantasy",5.0,877,40.0,2025.0,2213365.0,26000000.0,"Germany, Canada, United States",17.073607134447293,6.777646593635117,14.610024991711738,1
"Action, Crime, Drama",8.3,1300,64.81290322580645,2025.0,31246.0,26000000.0,India,17.073607134447293,7.170888478512505,10.349678650556253,0
"Quest, Space Sci-Fi, Superhero, Action, Adventure, Comedy, Sci-Fi",8.0,1300000,76.0,2014.0,773350376.0,170000000.0,"United States, United Kingdom",18.951309000896888,14.077875591662238,20.466242772937797,9
"War Epic, Action, Comedy, War",6.8,131000,55.0,2024.0,29715044.0,60000000.0,"United States, United Kingdom, Turkey",17.909855136853043,11.782960235741939,17.207164041168426,4
"Period Drama, Action, Drama, War",7.6,574000,64.0,2014.0,211822697.0,68000000.0,"China, United States",18.035018277846262,13.260386417460465,19.171260152528404,8
"Conspiracy Thriller, Dystopian Sci-Fi, Action, Sci-Fi, Thriller",7.1,404000,84.0,2014.0,86758912.0,39200000.0,"South Korea, Czech Republic",17.484187330270895,12.90917263218775,18.27864371502934,6
"Alien Invasion, Buddy Comedy, Buddy Cop, High-Concept Comedy, Urban Adventure, Action, Adventure, Comedy, Sci-Fi",7.3,635000,72.0,1997.0,589390539.0,90000000.0,United States,18.31532023940565,13.361381852676738,20.1945995779185,9
