rating,no_of_votes,gross,budget,genres_encoded,countries_encoded,gross_log
5.3,6800,17235040.0,18000000.0,196275752.58939025,155705435.73284134,16.662455136810458
6.5,107000,18636537.0,32000000.0,131355104.06526999,192709747.4966706,16.740634620358104
7.8,200000,481757663.0,90000000.0,294013184.9282252,189872310.80610937,19.99295177379853
7.6,524000,263920180.0,25000000.0,378778472.66682583,131209428.82444483,19.391157270698248
7.4,195000,300478449.0,55000000.0,379638824.7200422,139181487.31752205,19.520886595557663
7.9,23000,7698972.0,25000000.0,182950643.88655612,142871993.08669764,15.856597501305083
6.3,137000,185900759.0,350000000.0,225622789.6341338,166102437.70525783,19.04072354090279
5.6,221000,1001978080.0,165000000.0,272387494.8102678,165649250.418928,20.725241964120315
5.0,877,2213365.0,25000000.0,292591595.57485753,158873307.43416294,14.610024991711738
8.4,1900000,1114976407.0,250000000.0,258777280.94724503,162759199.58805758,20.83209908289025
8.3,1300,31246.0,25000000.0,155920745.4089932,142871993.08669764,10.349678650556253
8.0,1300000,773350376.0,170000000.0,322688364.4817303,162759199.58805758,20.466242772937797
6.8,131000,29715044.0,60000000.0,162764900.39102703,148918587.48712733,17.207164041168426
7.6,574000,211822697.0,68000000.0,143441974.22768041,180612530.44881523,19.171260152528404
7.1,404000,86758912.0,39200000.0,225630831.59383625,122579762.5096499,18.27864371502934
8.0,1500000,1520538536.0,220000000.0,360570636.26998615,157471398.12886688,21.142330409712834
7.3,635000,589390539.0,90000000.0,276923650.8330289,164224453.71494043,20.1945995779185
7.5,773000,86085139.0,20000000.0,161961910.26174533,159143831.46343982,18.270847364490976
8.3,749000,187436818.0,60000000.0,191952656.22338215,157471398.12886688,19.04895238125583
7.5,529000,2320250281.0,350000000.0,351934039.3746443,159143831.46343982,21.564940896978396
8.7,2100000,467841735.0,63000000.0,268723601.941661,166573780.8795436,19.963640625749065
5.3,20000,43395305.0,26000000.0,149159106.6655926,164224453.71494043,17.58586183653925
9.0,3000000,1009057329.0,185000000.0,221817200.56505084,162759199.58805758,20.732282395336075
8.8,2700000,839030630.0,160000000.0,292354757.551358,154980667.96566007,20.54775777270426
4.0,99000,100498764.0,80000000.0,293504988.2070442,139401043.73786196,18.425655996830685
6.6,214000,462180717.0,250000000.0,254821957.34980562,177306358.8529354,19.95146653706329
8.2,1100000,1104379926.0,63000000.0,278050716.24987656,164224453.71494043,20.822549862375197
8.0,1200000,782837347.0,58000000.0,270721455.83566487,155705435.73284134,20.47843550312988
5.9,73000,373752940.0,180000000.0,376098989.9826483,184981579.15646195,19.739105551534532
6.5,90000,74515586.0,25000000.0,226256688.21314752,182952378.56527996,18.126518882942538
4.9,1200,1035007.0,25000000.0,162251839.98745072,147484794.1209432,13.849919714120333
8.5,442000,690824738.0,150000000.0,366225260.63166034,157471398.12886688,20.35339671569747
7.0,138000,80509622.0,30000000.0,138577075.55707443,162476541.81037694,18.20388727561708
6.5,159000,372262265.0,155000000.0,231830105.77053577,196539103.5245757,19.73510917995933
8.2,762000,1495696292.0,170000000.0,267203335.7497002,164224453.71494043,21.125857683188293
7.3,339000,155560045.0,44000000.0,130425201.63505326,159143831.46343982,18.862542362957615
6.9,51000,487910130.0,122000000.0,321664644.52728844,193320874.52318734,20.005641789071408
7.3,589000,497409852.0,175000000.0,217858093.67101273,168388269.57858038,20.024924898144217
8.2,938000,1952732181.0,200000000.0,356285658.02509177,159143831.46343982,21.392495347845134
7.6,596000,185382813.0,130000000.0,258922664.82112432,157471398.12886688,19.03793350992778
7.3,266000,250849789.0,90000000.0,177880922.0419497,164224453.71494043,19.34036487174051
7.8,861000,772319315.0,185000000.0,226260902.01629415,157471398.12886688,20.464908644232807
8.1,849000,41759489.0,28000000.0,186083031.32660493,158251123.80033165,17.547437288820404
6.8,215000,181073291.0,125000000.0,157823093.95319632,171934941.69013354,19.014412435445607
7.9,1400000,2923710708.0,237000000.0,356081323.1116551,154980667.96566007,21.796119437208876
6.0,105000,478896999.0,120000000.0,284812008.87478375,163339897.0228178,19.9869961009374
6.2,404000,402064899.0,200000000.0,342639389.2338226,159143831.46343982,19.81212407633888
7.3,463000,774153007.0,250000000.0,308553893.441769,158251123.80033165,20.467280096771468
7.0,20000,1983898.0,25000000.0,269533842.9556026,142871993.08669764,14.500574658273072
7.1,51000,84563118.0,5000000.0,218632184.77600145,162476541.81037694,18.253008783898053
7.2,256000,205460387.0,150000000.0,302458293.009131,158316069.96479365,19.14076381419605
8.1,958000,78371200.0,6400000.0,301218083.0682512,154980667.96566007,18.176967083653235
7.4,12000,726225471.0,25000000.0,319953089.7466024,171482512.80719855,20.40337109206608
7.7,503000,84997446.0,30000000.0,133563764.58007589,148991210.7063836,18.258131778709405
8.0,714000,616577552.0,150000000.0,239557980.4464066,129311939.76903765,20.239694668277505
7.5,645000,226945087.0,34000000.0,146353108.80271396,158251123.80033165,19.240218643098707
7.4,129000,157387195.0,53000000.0,142188013.11408213,162476541.81037694,18.874219543751828
8.1,1200000,380437267.0,150000000.0,266051290.99909395,165776976.65864646,19.756831854394015
