name,genres,rating,no_of_votes,gross,budget,countries,url
Love Hurts,"Martial Arts, Action, Comedy",5.3,6800,17235040.0,18000000.0,United States,https://www.imdb.com/title/tt30788842/?ref_=sr_t_55
The Quick and the Dead,"Action, Drama, Romance, Thriller, Western",6.5,107000,18636537.0,32000000.0,"United States, Japan",https://www.imdb.com/title/tt0114214/?ref_=sr_t_185
Puss in Boots: The Last Wish,"Animal Adventure, Computer Animation, Fairy Tale, Quest, Swashbuckler, Action, Adventure, Animation, Comedy, Family",7.8,200000,481757663.0,90000000.0,"United States, Japan",https://www.imdb.com/title/tt3915174/?ref_=sr_t_244
The Fifth Element,"Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Sci-Fi",7.6,524000,263920180.0,25000000.0,"France, United Kingdom",https://www.imdb.com/title/tt0119116/?ref_=sr_t_163
Superman,"Sci-Fi Epic, Superhero, Urban Adventure, Action, Adventure, Sci-Fi",7.4,195000,300478449.0,55000000.0,"United States, United Kingdom, Switzerland, Panama",https://www.imdb.com/title/tt0078346/?ref_=sr_t_141
Chhaava,"Action Epic, Costume Drama, Epic, Historical Epic, One-Person Army Action, Period Drama, Tragedy, Action, Drama, History",7.9,23000,7698972.0,25000000.0,India,https://www.imdb.com/title/tt27922706/?ref_=sr_t_48
Red One,"Holiday Comedy, Action, Adventure, Comedy, Fantasy, Holiday, Mystery",6.3,137000,185900759.0,350000000.0,"United States, Canada",https://www.imdb.com/title/tt14948432/?ref_=sr_t_242
Jurassic World: Dominion,"Dinosaur Adventure, Globetrotting Adventure, Action, Adventure, Sci-Fi, Thriller",5.6,221000,1001978080.0,165000000.0,"United States, China, Malta",https://www.imdb.com/title/tt8041270/?ref_=sr_t_171
In the Lost Lands,"Dark Fantasy, Supernatural Fantasy, Survival, Action, Adventure, Fantasy",5.0,877,2213365.0,25000000.0,"Germany, Canada, United States",https://www.imdb.com/title/tt4419684/?ref_=sr_t_33
The Dark Knight Rises,"Action Epic, Epic, Superhero, Action, Drama, Thriller",8.4,1900000,1114976407.0,250000000.0,"United States, United Kingdom",https://www.imdb.com/title/tt1345836/?ref_=sr_t_179
Badnaam,"Action, Crime, Drama",8.3,1300,31246.0,25000000.0,India,https://www.imdb.com/title/tt34927582/?ref_=sr_t_110
Guardians of the Galaxy,"Quest, Space Sci-Fi, Superhero, Action, Adventure, Comedy, Sci-Fi",8.0,1300000,773350376.0,170000000.0,"United States, United Kingdom",https://www.imdb.com/title/tt2015381/?ref_=sr_t_167
The Ministry of Ungentlemanly Warfare,"War Epic, Action, Comedy, War",6.8,131000,29715044.0,60000000.0,"United States, United Kingdom, Turkey",https://www.imdb.com/title/tt5177120/?ref_=sr_t_80
Fury,"Period Drama, Action, Drama, War",7.6,574000,211822697.0,68000000.0,"China, United States",https://www.imdb.com/title/tt2713180/?ref_=sr_t_283
Snowpiercer,"Conspiracy Thriller, Dystopian Sci-Fi, Action, Sci-Fi, Thriller",7.1,404000,86758912.0,39200000.0,"South Korea, Czech Republic",https://www.imdb.com/title/tt1706620/?ref_=sr_t_204
The Avengers,"Action Epic, Alien Invasion, Superhero, Action, Sci-Fi",8.0,1500000,1520538536.0,220000000.0,United States,https://www.imdb.com/title/tt0848228/?ref_=sr_t_225
Men in Black,"Alien Invasion, Buddy Comedy, Buddy Cop, High-Concept Comedy, Urban Adventure, Action, Adventure, Comedy, Sci-Fi",7.3,635000,589390539.0,90000000.0,United States,https://www.imdb.com/title/tt0119654/?ref_=sr_t_240
John Wick,"Gun Fu, One-Person Army Action, Action, Crime, Thriller",7.5,773000,86085139.0,20000000.0,United States,https://www.imdb.com/title/tt2911666/?ref_=sr_t_202
Heat,"Action Epic, Cop Drama, Epic, Gangster, Heist, Action, Crime, Drama",8.3,749000,187436818.0,60000000.0,United States,https://www.imdb.com/title/tt0113277/?ref_=sr_t_146
Avatar: The Way of Water,"Action Epic, Adventure Epic, Sci-Fi Epic, Sea Adventure, Action, Adventure, Fantasy, Sci-Fi",7.5,529000,2320250281.0,350000000.0,United States,https://www.imdb.com/title/tt1630029/?ref_=sr_t_245
The Matrix,"Action Epic, Artificial Intelligence, Cyberpunk, Dystopian Sci-Fi, Gun Fu, Martial Arts, Sci-Fi Epic, Action, Sci-Fi",8.7,2100000,467841735.0,63000000.0,"United States, Australia",https://www.imdb.com/title/tt0133093/?ref_=sr_t_120
Flight Risk,"Action, Crime, Drama, Thriller",5.3,20000,43395305.0,26000000.0,United States,https://www.imdb.com/title/tt10078772/?ref_=sr_t_51
The Dark Knight,"Action Epic, Epic, Superhero, Tragedy, Action, Crime, Drama, Thriller",9.0,3000000,1009057329.0,185000000.0,"United States, United Kingdom",https://www.imdb.com/title/tt0468569/?ref_=sr_t_82
Inception,"Action Epic, Adventure Epic, Epic, Psychological Thriller, Sci-Fi Epic, Action, Adventure, Sci-Fi, Thriller",8.8,2700000,839030630.0,160000000.0,"United States, United Kingdom",https://www.imdb.com/title/tt1375666/?ref_=sr_t_81
Madame Web,"Psychological Thriller, Superhero, Action, Adventure, Sci-Fi, Thriller",4.0,99000,100498764.0,80000000.0,"United States, Mexico, Canada",https://www.imdb.com/title/tt11057302/?ref_=sr_t_209
Gladiator II,"Action Epic, Adventure Epic, Epic, Period Drama, Sword & Sandal, Action, Adventure, Drama",6.6,214000,462180717.0,250000000.0,"United States, United Kingdom, Morocco, Canada, Malta",https://www.imdb.com/title/tt9218128/?ref_=sr_t_25
Jurassic Park,"Dinosaur Adventure, Jungle Adventure, Action, Adventure, Sci-Fi, Thriller",8.2,1100000,1104379926.0,63000000.0,United States,https://www.imdb.com/title/tt0107290/?ref_=sr_t_137
Deadpool,"Dark Comedy, Gun Fu, Raunchy Comedy, Superhero, Action, Comedy, Sci-Fi",8.0,1200000,782837347.0,58000000.0,United States,https://www.imdb.com/title/tt1431045/?ref_=sr_t_269
Captain America: Brave New World,"Action Epic, Adventure Epic, Sci-Fi Epic, Superhero, Action, Adventure, Sci-Fi",5.9,73000,373752940.0,180000000.0,"United States, Canada",https://www.imdb.com/title/tt14513804/?ref_=sr_t_9
Plane,"One-Person Army Action, Quest, Survival, Action, Adventure, Thriller",6.5,90000,74515586.0,25000000.0,"United Kingdom, United States, Puerto Rico",https://www.imdb.com/title/tt5884796/?ref_=sr_t_295
Cleaner,"Action, Drama, Thriller",4.9,1200,1035007.0,25000000.0,United Kingdom,https://www.imdb.com/title/tt27812086/?ref_=sr_t_169
Spider-Man: Across the Spider-Verse,"Computer Animation, Superhero, Supernatural Fantasy, Teen Adventure, Urban Adventure, Action, Adventure, Animation, Family, Fantasy",8.5,442000,690824738.0,150000000.0,United States,https://www.imdb.com/title/tt9362722/?ref_=sr_t_236
Den of Thieves,"Cop Drama, Heist, Action, Crime, Drama, Thriller",7.0,138000,80509622.0,30000000.0,United States,https://www.imdb.com/title/tt1259528/?ref_=sr_t_166
Twisters,"Disaster, Action, Adventure, Thriller",6.5,159000,372262265.0,155000000.0,"Japan, United States",https://www.imdb.com/title/tt12584954/?ref_=sr_t_112
Top Gun: Maverick,"Action Epic, Epic, Action, Drama",8.2,762000,1495696292.0,170000000.0,United States,https://www.imdb.com/title/tt1745960/?ref_=sr_t_84
The Accountant,"Conspiracy Thriller, Martial Arts, One-Person Army Action, Action, Crime, Drama, Thriller",7.3,339000,155560045.0,44000000.0,United States,https://www.imdb.com/title/tt2140479/?ref_=sr_t_200
Sonic the Hedgehog 3,"Animal Adventure, Fantasy Epic, Globetrotting Adventure, Superhero, Supernatural Fantasy, Action, Adventure, Comedy, Family, Fantasy",6.9,51000,487910130.0,122000000.0,"United States, Japan",https://www.imdb.com/title/tt18259086/?ref_=sr_t_28
Troy,"Epic, Sword & Sandal, Tragedy, Action, Adventure, Drama",7.3,589000,497409852.0,175000000.0,"United States, Bulgaria, United Kingdom, Malta",https://www.imdb.com/title/tt0332452/?ref_=sr_t_227
Spider-Man: No Way Home,"Superhero, Supernatural Fantasy, Urban Adventure, Action, Adventure, Fantasy, Sci-Fi",8.2,938000,1952732181.0,200000000.0,United States,https://www.imdb.com/title/tt10872600/?ref_=sr_t_187
Watchmen,"Dystopian Sci-Fi, Superhero, Action, Drama, Mystery, Sci-Fi",7.6,596000,185382813.0,130000000.0,United States,https://www.imdb.com/title/tt0409459/?ref_=sr_t_113
Enemy of the State,"Conspiracy Thriller, Political Thriller, Spy, Action, Thriller",7.3,266000,250849789.0,90000000.0,United States,https://www.imdb.com/title/tt0120660/?ref_=sr_t_159
The Batman,"Action Epic, Epic, Serial Killer, Superhero, Action, Crime, Drama, Mystery, Thriller",7.8,861000,772319315.0,185000000.0,United States,https://www.imdb.com/title/tt1877830/?ref_=sr_t_103
